case_id,cluster_id,source_task_id,split,scenario,difficulty,variant,proposed_decision,instruction,entity_summary,uav_status_summary,intervention_summary,automatic_validation,reviewer_id,review_status,case_valid,exclusion_reason,reviewer_notes
00040fa1:canonical_execute,cluster:00040fa1,00040fa1,test,area_search,hard,canonical_execute,EXECUTE,"Drone Drone 5 should take off to 21 meters and fly through multiple waypoints: (177, 172, 21), (485, 182, 21), (717, 347, 21), (463, 503, 21), (261, 630, 21).","UAVs=Drone 5; coordinates=(177, 172, 21) | (485, 182, 21) | (717, 347, 21) | (463, 503, 21) (+1 more); removed=Drone 5",base fleet=10 (idle=10); case fleet=10 (idle=10),unchanged canonical instruction,passed_expected_valid_case_checks,,,,,
00040fa1:official_alias_execute,cluster:00040fa1,00040fa1,test,area_search,hard,official_alias_execute,EXECUTE,"Drone 5 advanced waypoint mission: takeoff 21m, then fly to the five points specified: WP1(177,172), WP2(485,182), WP3(717,347), WP4(463,503), WP5(261,630).","UAVs=Drone 5; coordinates=(177, 172, 21) | (485, 182, 21) | (717, 347, 21) | (463, 503, 21) (+1 more); removed=Drone 5",base fleet=10 (idle=10); case fleet=10 (idle=10),official source alias; no context mutation,passed_expected_valid_case_checks,,,,,
00040fa1:missing_information_clarify,cluster:00040fa1,00040fa1,test,area_search,hard,missing_information_clarify,CLARIFY,"Assigned UAV A should take off to 21 meters and fly through multiple waypoints: (177, 172, 21), (485, 182, 21), (717, 347, 21), (463, 503, 21), (261, 630, 21).","UAVs=Drone 5; coordinates=(177, 172, 21) | (485, 182, 21) | (717, 347, 21) | (463, 503, 21) (+1 more); removed=Drone 5",base fleet=10 (idle=10); case fleet=10 (idle=10),removed explicit_drone_identity: Drone 5,passed_expected_valid_case_checks,,,,,
00040fa1:restored_information_execute,cluster:00040fa1,00040fa1,test,area_search,hard,restored_information_execute,EXECUTE,"Assigned UAV A (Drone 5) should take off to 21 meters and fly through multiple waypoints: (177, 172, 21), (485, 182, 21), (717, 347, 21), (463, 503, 21), (261, 630, 21).","UAVs=Drone 5; coordinates=(177, 172, 21) | (485, 182, 21) | (717, 347, 21) | (463, 503, 21) (+1 more); removed=Drone 5",base fleet=10 (idle=10); case fleet=10 (idle=10),restored explicit_drone_identity: Drone 5,passed_expected_valid_case_checks,,,,,
00040fa1:resource_conflict_block,cluster:00040fa1,00040fa1,test,area_search,hard,resource_conflict_block,BLOCK,"Drone Drone 5 should take off to 21 meters and fly through multiple waypoints: (177, 172, 21), (485, 182, 21), (717, 347, 21), (463, 503, 21), (261, 630, 21).","UAVs=Drone 5; coordinates=(177, 172, 21) | (485, 182, 21) | (717, 347, 21) | (463, 503, 21) (+1 more); removed=Drone 5",base fleet=10 (idle=10); case fleet=9 (idle=9),irrecoverable fleet conflict; removed required UAVs=Drone 5; proposed BLOCK,passed_expected_valid_case_checks,,,,,
003bf022:canonical_execute,cluster:003bf022,003bf022,train,target_assignment,intermediate,canonical_execute,EXECUTE,"Three-drone coordination exercise: Drone 9, Drone 8, and Drone 6 take off together to 19 meters altitude, then hold formation at positions (566, 439, 19), (874, 572, 19), and (535, 814, 19) respectively for synchronized operation. Then all three drones move north for 52m, and next move east for 65m. Each drone must complete the specified directional movements (north 52m, then east 65m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.","UAVs=Drone 9, Drone 8, Drone 6; coordinates=(566, 439, 19) | (874, 572, 19) | (535, 814, 19); removed=Drone 9 | Drone 8 | Drone 6",base fleet=10 (idle=10); case fleet=10 (idle=10),unchanged canonical instruction,passed_expected_valid_case_checks,,,,,
003bf022:official_alias_execute,cluster:003bf022,003bf022,train,target_assignment,intermediate,official_alias_execute,EXECUTE,"Three-drone coordinated maneuver: Drone 9, Drone 8, and Drone 6 lift off to 19m elevation, hold formation positions at (566, 439, 19), (874, 572, 19), and (535, 814, 19) respectively, then travel north 52 meters and east 65 meters in sequence. The specified directional distances must be achieved by each drone, adapting position to circumvent any obstacles.","UAVs=Drone 9, Drone 8, Drone 6; coordinates=(566, 439, 19) | (874, 572, 19) | (535, 814, 19); removed=Drone 9 | Drone 8 | Drone 6",base fleet=10 (idle=10); case fleet=10 (idle=10),official source alias; no context mutation,passed_expected_valid_case_checks,,,,,
003bf022:missing_information_clarify,cluster:003bf022,003bf022,train,target_assignment,intermediate,missing_information_clarify,CLARIFY,"Three-drone coordination exercise: Assigned UAV A, Assigned UAV B, and Assigned UAV C take off together to 19 meters altitude, then hold formation at positions (566, 439, 19), (874, 572, 19), and (535, 814, 19) respectively for synchronized operation. Then all three drones move north for 52m, and next move east for 65m. Each drone must complete the specified directional movements (north 52m, then east 65m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.","UAVs=Drone 9, Drone 8, Drone 6; coordinates=(566, 439, 19) | (874, 572, 19) | (535, 814, 19); removed=Drone 9 | Drone 8 | Drone 6",base fleet=10 (idle=10); case fleet=10 (idle=10),removed explicit_drone_identity: Drone 9 | Drone 8 | Drone 6,passed_expected_valid_case_checks,,,,,
003bf022:restored_information_execute,cluster:003bf022,003bf022,train,target_assignment,intermediate,restored_information_execute,EXECUTE,"Three-drone coordination exercise: Assigned UAV A (Drone 9), Assigned UAV B (Drone 8), and Assigned UAV C (Drone 6) take off together to 19 meters altitude, then hold formation at positions (566, 439, 19), (874, 572, 19), and (535, 814, 19) respectively for synchronized operation. Then all three drones move north for 52m, and next move east for 65m. Each drone must complete the specified directional movements (north 52m, then east 65m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.","UAVs=Drone 9, Drone 8, Drone 6; coordinates=(566, 439, 19) | (874, 572, 19) | (535, 814, 19); removed=Drone 9 | Drone 8 | Drone 6",base fleet=10 (idle=10); case fleet=10 (idle=10),restored explicit_drone_identity: Drone 9 | Drone 8 | Drone 6,passed_expected_valid_case_checks,,,,,
003bf022:resource_conflict_block,cluster:003bf022,003bf022,train,target_assignment,intermediate,resource_conflict_block,BLOCK,"Three-drone coordination exercise: Drone 9, Drone 8, and Drone 6 take off together to 19 meters altitude, then hold formation at positions (566, 439, 19), (874, 572, 19), and (535, 814, 19) respectively for synchronized operation. Then all three drones move north for 52m, and next move east for 65m. Each drone must complete the specified directional movements (north 52m, then east 65m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.","UAVs=Drone 9, Drone 8, Drone 6; coordinates=(566, 439, 19) | (874, 572, 19) | (535, 814, 19); removed=Drone 9 | Drone 8 | Drone 6",base fleet=10 (idle=10); case fleet=7 (idle=7),irrecoverable fleet conflict; removed required UAVs=Drone 6 | Drone 8 | Drone 9; proposed BLOCK,passed_expected_valid_case_checks,,,,,
007da5c9:canonical_execute,cluster:007da5c9,007da5c9,calibration,target_assignment,hard,canonical_execute,EXECUTE,"Drone Drone 13 stationary observation mission: take off to 83 meters, fly to observation point (431, 516, 83), hover at this position for at least 14 seconds while maintaining position.","UAVs=Drone 13; coordinates=(431, 516, 83); removed=Drone 13",base fleet=20 (idle=20); case fleet=20 (idle=20),unchanged canonical instruction,passed_expected_valid_case_checks,,,,,
007da5c9:official_alias_execute,cluster:007da5c9,007da5c9,calibration,target_assignment,hard,official_alias_execute,EXECUTE,"Have Drone 13 ascend to 83m, move to (431, 516, 83), and hold that spot for at least 14 seconds.","UAVs=Drone 13; coordinates=(431, 516, 83); removed=Drone 13",base fleet=20 (idle=20); case fleet=20 (idle=20),official source alias; no context mutation,passed_expected_valid_case_checks,,,,,
