case_id,cluster_id,source_task_id,split,scenario,difficulty,variant,proposed_decision,instruction,entity_summary,uav_status_summary,intervention_summary,automatic_validation,reviewer_id,review_status,case_valid,exclusion_reason,reviewer_notes
05e12d8e:canonical_execute,cluster:05e12d8e,05e12d8e,train,target_assignment,intermediate,canonical_execute,EXECUTE,take off necessary drones and  assigned them to all targets (within task radius) until the session task progress exceeds 95%.,UAVs=generic fleet; removed=95%,base fleet=10 (idle=10); case fleet=10 (idle=10),unchanged canonical instruction,passed_expected_valid_case_checks,,,,,"Accept: complete, executable target assignment baseline; the fleet context supports EXECUTE. Minor wording edit: change 'assigned' to 'assign'."
05e12d8e:official_alias_execute,cluster:05e12d8e,05e12d8e,train,target_assignment,intermediate,official_alias_execute,EXECUTE,Assign all targets to the available drones and continue until overall task progress exceeds 95%.,UAVs=generic fleet; removed=95%,base fleet=10 (idle=10); case fleet=10 (idle=10),official source alias; no context mutation,passed_expected_valid_case_checks,,,,,Accept: faithful alias; it preserves the operational constraints and supports EXECUTE.
05e12d8e:missing_information_clarify,cluster:05e12d8e,05e12d8e,train,target_assignment,intermediate,missing_information_clarify,CLARIFY,take off necessary drones and assigned them to all targets (within task radius) until the session task progress exceeds the required threshold.,UAVs=generic fleet; removed=95%,base fleet=10 (idle=10); case fleet=10 (idle=10),removed coverage_threshold: 95%,passed_expected_valid_case_checks,,,,,Accept: CLARIFY is correct because the required 95% completion/coverage threshold is omitted. Minor wording edit: change 'assigned' to 'assign'.
05e12d8e:restored_information_execute,cluster:05e12d8e,05e12d8e,train,target_assignment,intermediate,restored_information_execute,EXECUTE,take off necessary drones and assigned them to all targets (within task radius) until the session task progress exceeds the required threshold (95%).,UAVs=generic fleet; removed=95%,base fleet=10 (idle=10); case fleet=10 (idle=10),restored coverage_threshold: 95%,passed_expected_valid_case_checks,,,,,"Accept: the 95% threshold is restored, so EXECUTE is consistent with the available fleet. Minor wording edit: change 'assigned' to 'assign'."
05e12d8e:resource_conflict_block,cluster:05e12d8e,05e12d8e,train,target_assignment,intermediate,resource_conflict_block,BLOCK,take off necessary drones and  assigned them to all targets (within task radius) until the session task progress exceeds 95%.,UAVs=generic fleet; removed=95%,base fleet=10 (idle=10); case fleet=0,irrecoverable fleet conflict; required fleet=1; visible fleet=0; proposed BLOCK,passed_expected_valid_case_checks,,,,,"Accept: BLOCK is correct—at least one UAV is required, but no UAV is visible. Minor wording edit: change 'assigned' to 'assign'."
0f58d7f8:canonical_execute,cluster:0f58d7f8,0f58d7f8,train,target_assignment,intermediate,canonical_execute,EXECUTE,"Drones Drone 9, Drone 5, and Drone 4 should take off to 21 meters altitude and form a triangle formation around target at position (473, 420, 21). Drone 9 positions at (473, 544, 21), Drone 5 at (403, 640, 21), and Drone 4 at (476, 489, 21). After formation is established, all drones maintain hovering.","UAVs=Drone 9, Drone 5, Drone 4; coordinates=(473, 420, 21) | (473, 544, 21) | (403, 640, 21) | (476, 489, 21); removed=Drone 9 | Drone 5 | Drone 4",base fleet=10 (idle=10); case fleet=10 (idle=10),unchanged canonical instruction,passed_expected_valid_case_checks,,,,,"Accept: complete, executable target assignment baseline; the fleet context supports EXECUTE. Minor wording edit: remove the duplicated 'Drone' label."
0f58d7f8:official_alias_execute,cluster:0f58d7f8,0f58d7f8,train,target_assignment,intermediate,official_alias_execute,EXECUTE,"Triangle formation at 21m around target (473, 420, 21): Drone 9 holds (473,544,21), Drone 5 holds (403,640,21), Drone 4 holds (476,489,21), all hovering.","UAVs=Drone 9, Drone 5, Drone 4; coordinates=(473, 420, 21) | (473, 544, 21) | (403, 640, 21) | (476, 489, 21); removed=Drone 9 | Drone 5 | Drone 4",base fleet=10 (idle=10); case fleet=10 (idle=10),official source alias; no context mutation,passed_expected_valid_case_checks,,,,,Accept: faithful alias; it preserves the operational constraints and supports EXECUTE.
0f58d7f8:missing_information_clarify,cluster:0f58d7f8,0f58d7f8,train,target_assignment,intermediate,missing_information_clarify,CLARIFY,"Assigned UAV A, Assigned UAV B, and Assigned UAV C should take off to 21 meters altitude and form a triangle formation around target at position (473, 420, 21). Assigned UAV A positions at (473, 544, 21), Assigned UAV B at (403, 640, 21), and Assigned UAV C at (476, 489, 21). After formation is established, all drones maintain hovering.","UAVs=Drone 9, Drone 5, Drone 4; coordinates=(473, 420, 21) | (473, 544, 21) | (403, 640, 21) | (476, 489, 21); removed=Drone 9 | Drone 5 | Drone 4",base fleet=10 (idle=10); case fleet=10 (idle=10),removed explicit_drone_identity: Drone 9 | Drone 5 | Drone 4,passed_expected_valid_case_checks,,,,,"Accept: CLARIFY is correct because the UAV identity mapping (Drone 9, Drone 5, Drone 4) is omitted."
0f58d7f8:restored_information_execute,cluster:0f58d7f8,0f58d7f8,train,target_assignment,intermediate,restored_information_execute,EXECUTE,"Assigned UAV A (Drone 9), Assigned UAV B (Drone 5), and Assigned UAV C (Drone 4) should take off to 21 meters altitude and form a triangle formation around target at position (473, 420, 21). Assigned UAV A (Drone 9) positions at (473, 544, 21), Assigned UAV B (Drone 5) at (403, 640, 21), and Assigned UAV C (Drone 4) at (476, 489, 21). After formation is established, all drones maintain hovering.","UAVs=Drone 9, Drone 5, Drone 4; coordinates=(473, 420, 21) | (473, 544, 21) | (403, 640, 21) | (476, 489, 21); removed=Drone 9 | Drone 5 | Drone 4",base fleet=10 (idle=10); case fleet=10 (idle=10),restored explicit_drone_identity: Drone 9 | Drone 5 | Drone 4,passed_expected_valid_case_checks,,,,,"Accept: the UAV identities (Drone 9, Drone 5, Drone 4) are restored, making the instruction executable."
0f58d7f8:resource_conflict_block,cluster:0f58d7f8,0f58d7f8,train,target_assignment,intermediate,resource_conflict_block,BLOCK,"Drones Drone 9, Drone 5, and Drone 4 should take off to 21 meters altitude and form a triangle formation around target at position (473, 420, 21). Drone 9 positions at (473, 544, 21), Drone 5 at (403, 640, 21), and Drone 4 at (476, 489, 21). After formation is established, all drones maintain hovering.","UAVs=Drone 9, Drone 5, Drone 4; coordinates=(473, 420, 21) | (473, 544, 21) | (403, 640, 21) | (476, 489, 21); removed=Drone 9 | Drone 5 | Drone 4",base fleet=10 (idle=10); case fleet=7 (idle=7),irrecoverable fleet conflict; removed required UAVs=Drone 4 | Drone 5 | Drone 9; proposed BLOCK,passed_expected_valid_case_checks,,,,,"Accept: BLOCK is correct—the required UAVs (Drone 4, Drone 5, Drone 9) are unavailable and should not be silently substituted. Minor wording edit: remove the duplicated 'Drone' label."
