analysis_id,repetition,model_id,model_label,contrast_role,contrast_label,method_a,method_b,metric_id,metric_label,unit,direction,inference_status,point_estimate,ci_lower,ci_upper,confidence_level,cluster_count,bootstrap_draws
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:method_case_duration_seconds,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,method_case_duration_seconds,Duration (s),seconds,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,9.49488574282693,8.359284658379373,10.706562363348667,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:input_tokens,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,input_tokens,Input tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,3297.68,2856.930166666667,3778.4883333333332,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:output_tokens,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,output_tokens,Output tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,260.65333333333336,223.55983333333336,299.88,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:model_call_count,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,model_call_count,Model calls,calls,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1.0,1.0,1.0,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:process_ram_peak_bytes,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_ram_peak_bytes,Process RAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,28157242.026666705,24260924.07466668,31996108.117333382,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:board_vram_peak_bytes,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,board_vram_peak_bytes,Board VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1926821314.5600002,1864421255.850667,1986591544.6613333,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:process_vram_peak_bytes,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,process_vram_peak_bytes,Process VRAM peak (bytes),bytes,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1926821314.5600002,1864421255.850667,1986591544.6613333,0.95,30,10000
r1:Qwen/Qwen2.5-3B-Instruct:M3_stage_wise_minus_M1_monolithic:gpu_board_energy_joules,1,Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,gpu_board_energy_joules,GPU-board energy (J),joules,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1681.29618,1479.803156166667,1897.8546039999999,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:method_case_duration_seconds,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,method_case_duration_seconds,Duration (s),seconds,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-6.2278236523058155,-9.056107965851943,-3.3822311535141356,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:input_tokens,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,input_tokens,Input tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,3155.9733333333334,2720.1910000000003,3628.019333333333,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:output_tokens,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,output_tokens,Output tokens,tokens,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,-125.7,-163.3475,-87.99633333333338,0.95,30,10000
r1:Qwen/Qwen2.5-7B-Instruct:M3_stage_wise_minus_M1_monolithic:model_call_count,1,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,registered_primary_method_contrast_secondary_resource_outcome,M3 minus M1,M3_stage_wise,M1_monolithic,model_call_count,Model calls,calls,lower_is_less_resource_intensive,exploratory_secondary_no_confirmatory_claims,1.0,1.0,1.0,0.95,30,10000
