cluster_id,source_task_id,split,scenario,difficulty,missing_fact_kind,removed_values,canonical_instruction,official_alias,missing_instruction,restored_instruction,resource_conflict_summary,automatic_validation,reviewer_id,review_status,canonical_valid,alias_valid,missing_valid,restored_valid,conflict_valid,exclusion_reason,reviewer_notes
cluster:0655a3fa,0655a3fa,train,target_assignment,moderate,explicit_drone_identity,Drone 3,"Drone Drone 3 stationary observation mission: take off to 56 meters, fly to observation point (431, 639, 56), hover at this position for at least 13 seconds while maintaining position.","Station-keeping mission for Drone 3: take off to 56 meters, travel to (431, 639, 56), and hover there for a minimum of 13 seconds.","Assigned UAV A stationary observation mission: take off to 56 meters, fly to observation point (431, 639, 56), hover at this position for at least 13 seconds while maintaining position.","Assigned UAV A (Drone 3) stationary observation mission: take off to 56 meters, fly to observation point (431, 639, 56), hover at this position for at least 13 seconds while maintaining position.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:09232c94,09232c94,train,area_search,easy,explicit_drone_identity,Drone 3,"Drone Drone 3 should take off to 15 meters altitude, then fly a quadrangle patrol route visiting four points in different sectors: (244, 389, 15), (756, 229, 15), (642, 754, 15), (101, 795, 15), and finally return to the start point (244, 389, 15).","make Drone 3 patrol quadrangle path: 244,389 -> 756,229 -> 642,754 -> 101,795 -> start at 15m","Assigned UAV A should take off to 15 meters altitude, then fly a quadrangle patrol route visiting four points in different sectors: (244, 389, 15), (756, 229, 15), (642, 754, 15), (101, 795, 15), and finally return to the start point (244, 389, 15).","Assigned UAV A (Drone 3) should take off to 15 meters altitude, then fly a quadrangle patrol route visiting four points in different sectors: (244, 389, 15), (756, 229, 15), (642, 754, 15), (101, 795, 15), and finally return to the start point (244, 389, 15).",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:0b3d52b2,0b3d52b2,train,area_assignment_and_patrol,extreme,explicit_drone_identity,Drone 7 | Drone 3,"Drones Drone 7 and Drone 3 form a line formation: both take off to 17 meters. Drone 7 positions at (638, 404, 17) and Drone 3 flys to (620, 514, 17) first, and then move to 17 meters at most to Drone 7. Both maintain formation for monitoring.","Have Drone 7 and Drone 3 take off to 17m, set Drone 7 at (638,404,17) and Drone 3 at (620,514,17), then fly within a 17m gap.","Assigned UAV A and Assigned UAV B form a line formation: both take off to 17 meters. Assigned UAV A positions at (638, 404, 17) and Assigned UAV B flys to (620, 514, 17) first, and then move to 17 meters at most to Assigned UAV A. Both maintain formation for monitoring.","Assigned UAV A (Drone 7) and Assigned UAV B (Drone 3) form a line formation: both take off to 17 meters. Assigned UAV A (Drone 7) positions at (638, 404, 17) and Assigned UAV B (Drone 3) flys to (620, 514, 17) first, and then move to 17 meters at most to Assigned UAV A (Drone 7). Both maintain formation for monitoring.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:0db7b8b3,0db7b8b3,train,area_assignment_and_patrol,moderate,explicit_drone_identity,Drone 3,"Drone Drone 3 must take off to 19 meters, navigate to target Polygon Target 3, take a photo, then navigate to target Circle Target 2 and take another photo.","Two-target survey for Drone 3: take off to 19m, navigate to Polygon Target 3 for imaging, then image Circle Target 2.","Assigned UAV A must take off to 19 meters, navigate to target Polygon Target 3, take a photo, then navigate to target Circle Target 2 and take another photo.","Assigned UAV A (Drone 3) must take off to 19 meters, navigate to target Polygon Target 3, take a photo, then navigate to target Circle Target 2 and take another photo.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:1829e651,1829e651,train,area_assignment_and_patrol,intermediate,explicit_drone_identity,Drone 4,"Drone Drone 4 takes off to 20 meters altitude, navigates from start point (354, 206, 20) to destination (779, 770, 20) while avoiding obstacle Polygon Obstacle 1. Must fly above obstacle height or around it. After reaching destination, land there.","Navigate Drone 4 from (354,206) to (779,770) at 20m, avoiding Polygon Obstacle 1, then land.","Assigned UAV A takes off to 20 meters altitude, navigates from start point (354, 206, 20) to destination (779, 770, 20) while avoiding obstacle Polygon Obstacle 1. Must fly above obstacle height or around it. After reaching destination, land there.","Assigned UAV A (Drone 4) takes off to 20 meters altitude, navigates from start point (354, 206, 20) to destination (779, 770, 20) while avoiding obstacle Polygon Obstacle 1. Must fly above obstacle height or around it. After reaching destination, land there.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:2265b34b,2265b34b,train,area_assignment_and_patrol,intermediate,explicit_drone_identity,Drone 5,"Drone Drone 5 performs a marathon flight. Take off to 24 meters, fly to start point (114, 196, 24), then navigate through 10 waypoints: (274, 180, 24), (305, 219, 24), (489, 376, 24), (510, 420, 24), (635, 550, 24), (789, 628, 24), (862, 735, 24), (926, 812, 24), (885, 122, 24), (134, 879, 24). Avoid obstacles Polygon Obstacle 4, Circle Obstacle 1. Finally, fly to end point (558, 511, 24) and land.","Drone 5 marathon flight: navigate 10 distinct waypoints (274,180) through (134,879) at 24m, from start (114,196) to final landing at (558,511).","Assigned UAV A performs a marathon flight. Take off to 24 meters, fly to start point (114, 196, 24), then navigate through 10 waypoints: (274, 180, 24), (305, 219, 24), (489, 376, 24), (510, 420, 24), (635, 550, 24), (789, 628, 24), (862, 735, 24), (926, 812, 24), (885, 122, 24), (134, 879, 24). Avoid obstacles Polygon Obstacle 4, Circle Obstacle 1. Finally, fly to end point (558, 511, 24) and land.","Assigned UAV A (Drone 5) performs a marathon flight. Take off to 24 meters, fly to start point (114, 196, 24), then navigate through 10 waypoints: (274, 180, 24), (305, 219, 24), (489, 376, 24), (510, 420, 24), (635, 550, 24), (789, 628, 24), (862, 735, 24), (926, 812, 24), (885, 122, 24), (134, 879, 24). Avoid obstacles Polygon Obstacle 4, Circle Obstacle 1. Finally, fly to end point (558, 511, 24) and land.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:253205de,253205de,train,area_search,moderate,explicit_drone_identity,Drone 1 | Drone 8 | Drone 7 | Drone 5,"Four-drone coordination exercise: Drone 1, Drone 8, Drone 7, and Drone 5 take off together to 23 meters altitude, then hold formation at positions (450, 482, 23), (640, 453, 23), (595, 561, 23), and (471, 671, 23) respectively for synchronized operation. Then all four drones move north for 90m, and next move east for 91m. Each drone must complete the specified directional movements (north 90m, then east 91m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.","Execute synchronized operation with Drone 1, Drone 8, Drone 7, Drone 5: take off reaching 23 meters height, maintain formation at coordinates (450, 482, 23), (640, 453, 23), (595, 561, 23), and (471, 671, 23) respectively, then proceed north for 90m and subsequently east for 91m together, with each drone completing the full directed movements by repositioning around obstacles if necessary.","Four-drone coordination exercise: Assigned UAV A, Assigned UAV B, Assigned UAV C, and Assigned UAV D take off together to 23 meters altitude, then hold formation at positions (450, 482, 23), (640, 453, 23), (595, 561, 23), and (471, 671, 23) respectively for synchronized operation. Then all four drones move north for 90m, and next move east for 91m. Each drone must complete the specified directional movements (north 90m, then east 91m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.","Four-drone coordination exercise: Assigned UAV A (Drone 1), Assigned UAV B (Drone 8), Assigned UAV C (Drone 7), and Assigned UAV D (Drone 5) take off together to 23 meters altitude, then hold formation at positions (450, 482, 23), (640, 453, 23), (595, 561, 23), and (471, 671, 23) respectively for synchronized operation. Then all four drones move north for 90m, and next move east for 91m. Each drone must complete the specified directional movements (north 90m, then east 91m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:2621b80c,2621b80c,train,area_search,extreme,explicit_drone_identity,Drone 14 | Drone 4 | Drone 9 | Drone 7,"Four-drone coordination exercise: Drone 14, Drone 4, Drone 9, and Drone 7 take off together to 20 meters altitude, then hold formation at positions (444, 452, 20), (652, 395, 20), (609, 674, 20), and (507, 626, 20) respectively for synchronized operation. Then all four drones move north for 114m, and next move east for 87m. Each drone must complete the specified directional movements (north 114m, then east 87m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.","Execute synchronized operation with Drone 14, Drone 4, Drone 9, Drone 7: take off reaching 20 meters height, maintain formation at coordinates (444, 452, 20), (652, 395, 20), (609, 674, 20), and (507, 626, 20) respectively, then proceed north for 114m and subsequently east for 87m together, with each drone completing the full directed movements by repositioning around obstacles if necessary.","Four-drone coordination exercise: Assigned UAV A, Assigned UAV B, Assigned UAV C, and Assigned UAV D take off together to 20 meters altitude, then hold formation at positions (444, 452, 20), (652, 395, 20), (609, 674, 20), and (507, 626, 20) respectively for synchronized operation. Then all four drones move north for 114m, and next move east for 87m. Each drone must complete the specified directional movements (north 114m, then east 87m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.","Four-drone coordination exercise: Assigned UAV A (Drone 14), Assigned UAV B (Drone 4), Assigned UAV C (Drone 9), and Assigned UAV D (Drone 7) take off together to 20 meters altitude, then hold formation at positions (444, 452, 20), (652, 395, 20), (609, 674, 20), and (507, 626, 20) respectively for synchronized operation. Then all four drones move north for 114m, and next move east for 87m. Each drone must complete the specified directional movements (north 114m, then east 87m) regardless of starting position - if obstacles block the path, drones should adjust position as needed to complete the full directed distance in each heading.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:26ca40a9,26ca40a9,train,area_search,intermediate,explicit_drone_identity,Drone 5,"Drone Drone 5 should take off to 14 meters, then climb to 29 meters altitude and hover.",drone Drone 5 two-step climb to 29 meters,"Assigned UAV A should take off to 14 meters, then climb to 29 meters altitude and hover.","Assigned UAV A (Drone 5) should take off to 14 meters, then climb to 29 meters altitude and hover.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
cluster:3252dfe6,3252dfe6,train,target_assignment,hard,explicit_drone_identity,Drone 14 | Drone 6 | Drone 11,"Drones Drone 14, Drone 6, and Drone 11 must take off to 20 meters. Drone 14 photographs targets Fixed Target 29 and Fixed Target 12. Drone 6 photographs targets Fixed Target 1 and Fixed Target 26. Drone 11 photographs targets Fixed Target 23 and Fixed Target 20.","Assign target pairs at 20m: Drone 14 handles Fixed Target 29/Fixed Target 12, Drone 6 handles Fixed Target 1/Fixed Target 26, Drone 11 handles Fixed Target 23/Fixed Target 20.","Assigned UAV A, Assigned UAV B, and Assigned UAV C must take off to 20 meters. Assigned UAV A photographs targets Fixed Target 29 and Fixed Target 12. Assigned UAV B photographs targets Fixed Target 1 and Fixed Target 26. Assigned UAV C photographs targets Fixed Target 23 and Fixed Target 20.","Assigned UAV A (Drone 14), Assigned UAV B (Drone 6), and Assigned UAV C (Drone 11) must take off to 20 meters. Assigned UAV A (Drone 14) photographs targets Fixed Target 29 and Fixed Target 12. Assigned UAV B (Drone 6) photographs targets Fixed Target 1 and Fixed Target 26. Assigned UAV C (Drone 11) photographs targets Fixed Target 23 and Fixed Target 20.",required UAV identity or fleet cardinality is absent and the AGENT contract cannot register replacement UAVs,passed,,,,,,,,,
